receivedate,prr,l,u
2019-01-31,1.8637032447920698,0.9646248973800224,3.600767297301178
2019-02-28,1.0779202731676327,0.6611993402102381,1.7572796048712587
2019-03-31,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0
2019-05-31,0.7601939098581201,0.4086741175477213,1.4140723764281309
2019-06-30,0.0,0.0,0.0
2019-07-31,0.3895677953166203,0.16213811915786075,0.9360110252672461
2019-08-31,1.6897062715582762,0.9791510565787793,2.9159007335592437
2019-09-30,1.3172519710873638,0.8986764577247863,1.9307869260606847
2019-10-31,1.420385981164119,0.8219921332455806,2.4543985932342305
2019-11-30,1.5728811948920645,0.9748374764236623,2.537813033533718
2019-12-31,1.9274113983836547,1.175472325203488,3.160359133062652
